808807.0,12941.0,5.0,4853.0,5.0,1,0,3.0,1
742596.0,11882.0,5.0,4456.0,4.0,1,0,3.0,0
540806.0,8653.0,3.0,3245.0,3.0,0,0,2.0,0
704845.0,11278.0,5.0,4229.0,4.0,0,0,3.0,1
607571.0,9721.0,4.0,3645.0,3.0,1,1,2.0,0
485216.0,7763.0,3.0,2911.0,3.0,0,0,2.0,1
590613.0,9450.0,4.0,3544.0,3.0,0,0,2.0,0
290485.0,4648.0,2.0,1743.0,2.0,0,0,1.0,1
364078.0,5825.0,2.0,2184.0,2.0,0,1,1.0,0
367577.0,5881.0,2.0,2205.0,2.0,0,1,1.0,0
335699.0,5371.0,2.0,2014.0,2.0,0,0,1.0,0
438008.0,7008.0,3.0,2628.0,2.0,0,0,2.0,0
731233.0,11700.0,5.0,4387.0,4.0,0,1,3.0,1
772095.0,12354.0,5.0,4633.0,4.0,1,1,3.0,0
433713.0,6939.0,3.0,2602.0,2.0,0,0,2.0,0
876815.0,14029.0,6.0,5261.0,5.0,1,1,3.0,1
249238.0,3988.0,2.0,1495.0,1.0,0,0,1.0,1
708780.0,11340.0,5.0,4253.0,4.0,1,1,3.0,1
619310.0,9909.0,4.0,3716.0,3.0,1,0,2.0,1
385568.0,6169.0,2.0,2313.0,2.0,0,0,1.0,0
728931.0,11663.0,5.0,4374.0,4.0,1,0,3.0,0
519592.0,8313.0,3.0,3118.0,3.0,0,0,2.0,0
391989.0,6272.0,3.0,2352.0,2.0,0,1,1.0,0
498664.0,7979.0,3.0,2992.0,3.0,0,0,2.0,0
492870.0,7886.0,3.0,2957.0,3.0,1,1,2.0,0
720406.0,11526.0,5.0,4322.0,4.0,0,1,3.0,0
427879.0,6846.0,3.0,2567.0,2.0,0,1,2.0,0
461298.0,7381.0,3.0,2768.0,3.0,0,0,2.0,1
402324.0,6437.0,3.0,2414.0,2.0,1,1,1.0,1
722873.0,11566.0,5.0,4337.0,4.0,1,1,3.0,0
614344.0,9830.0,4.0,3686.0,3.0,0,1,2.0,1
671821.0,10749.0,4.0,4031.0,4.0,0,0,2.0,0
